"English","Русский язык","Esperanto"
"When can I come?","Когда я могу прийти?","Kiam mi povas veni?"
"I need a haircut.","Мне нужно постричься.","Mi bezonas hartondon"
"I'd like a fringe.","Я бы хотела чёлку.","Mi ŝatus fruntoharojn"
"I'd like a new style.","Я бы хотела новый стиль.","Mi ŝatus novan stilon"
"My hair is dry.","Мои волосы - сухие.","Miaj haroj estas sekaj"
"I like my make-up.","Мне нравится мой макияж.","Mi ŝatas mian ŝminkon"
"You'll have to wait.","Вам придётся подождать.","Vi devos atendi"
"It's my turn now.","Сейчас моя очередь.","Nun estas mia vico"
"My hair is greasy.","Мои волосы жирные.","Miaj haroj estas grasaj"
"A soft perm, please.","Щадящую химзавивку, пожалуйста.","Mildan permanenton, mi petas"
"Haircut and shave, please.","Постригите и побрейте, пожалуйста.","Tondon kaj razon, mi petas"
"How short would you like it?","Насколько коротко вы бы хотели их постричь?","Kiom mallonge vi ŝatus ilin?"
"Not too short.","Не слишком коротко.","Ne tro mallonge"
"Cut it short, please.","Постригите покороче, пожалуйста.","Tondu pli mallonge, mi petas"
"Completely shaved.","Побрейте налысо.","Razu tute kalve"
"Have you got a parting?","У вас есть пробор?","Ĉu vi havas disigon?"
"What colour do you prefer?","Какой цвет вы предпочитаете?","Kiun koloron vi preferas?"
"Please shape my eyebrows.","Пожалуйста, придайте форму моим бровям.","Bonvolu formi miajn brovojn"
"Are you able to see me now?","Вы можете принять меня сейчас?","Ĉu vi povas akcepti min nun?"
"Wash my hair, please.","Пожалуйста, помойте мне волосы.","Bonvolu lavi miajn harojn"
"Choose the haircut you like.","Выберите стрижку, которая вам нравится.","Elektu la tondadon, kiu plaĉas al vi"
"Square at the back, please.","Сзади прямо, пожалуйста.","Rekte malantaŭe, bonvolu"
"I'd like it coloured.","Я бы хотела их покрасить.","Mi ŝatus ilin farbigi"
"What colour would you like?","Какой цвет бы вы хотели?","Kiun koloron vi ŝatus?"
"Please dye my hair blonde.","Пожалуйста, покрасьте меня под блондинку.","Bonvolu farbi miajn harojn blonde"
"I'd like some highlights.","Я бы хотела мелирование.","Mi ŝatus harlumojn"
"Does it burn?","Жжёт?","Ĉu ĝi brulas?"
"What hairdo would you like?","Какую причёску вы бы хотели?","Kian frizaĵon vi dezirus?"
"Please curl the ends inward.","Пожалуйста, подкрутите кончики внутрь.","Bonvolu bukli la pintojn internen"
"I'll leave it to you.","Положусь на ваш вкус.","Mi fidos vian guston"
"Do you do hair removal?","Вы удаляете волосы?","Ĉu vi faras epiladon?"
"I would like my legs waxed.","Я бы хотела сделать восковую депиляцию на ногах.","Mi ŝatus vaksan epiladon de miaj kruroj"
"Is it hot?","Горячо?","Ĉu estas varme?"
"I would like a manicure, please.","Я бы хотела сделать маникюр, пожалуйста.","Mi ŝatus manikiuron, mi petas"
"I would like a pedicure, please.","Я бы хотела сделать педикюр, пожалуйста.","Mi ŝatus pedikuron, mi petas"
"How much do I owe you?","Сколько я вам должен?","Kiom mi ŝuldas al vi?"
"I'd like to make an appointment for a haircut.","Я бы хотел записаться на стрижку.","Mi ŝatus fari rendevuon por hartondado"
"How long will I have to wait?","Как долго мне придётся ждать?","Kiom longe mi devos atendi?"
"Where can I sit down for a while?","Где я могу присесть ненадолго?","Kie mi povas sidiĝi por momento?"
"How would you like me to cut it?","Как вы бы хотели их постричь?","Kiel vi ŝatus, ke mi tondu ilin?"
"Tapered at the back, please.","Сзади клином, пожалуйста.","Malantaŭe kojne, mi petas"
"Just take some off the edges.","Только немного подстригите кончики.","Nur iomete pritondu la pintojn"
"Please cut and blow-dry my hair.","Пожалуйста, постригите и высушите мне феном волосы.","Bonvolu tondi kaj fensekigi miajn harojn"
"Please shorten the sides a little.","Пожалуйста, укоротите немного по бокам.","Bonvolu iom mallongigi la flankojn"
"Please shampoo and style my hair.","Пожалуйста, помойте мне голову и уложите волосы.","Bonvolu ŝampui kaj aranĝi miajn harojn"
"Please part my hair in the middle.","Пожалуйста, сделайте мне пробор посередине.","Bonvolu fari al mi mezan harfendon"
"Please comb my hair back from the forehead.","Пожалуйста, зачешите мне волосы со лба назад.","Bonvolu kombi miajn harojn de la frunto malantaŭen"
"Can you cut a little more off the neck?","Вы можете состричь ещё немного на шее?","Ĉu vi povas tondi iom pli ĉe la nuko?"
"Would you like anything on it?","Вы бы хотели что-нибудь нанести?","Ĉu vi ŝatus ion sur ĝi?"
"Yes. Some hairspray, please.","Да. Немного спрея для волос, пожалуйста.","Jes. Iom da harsprajo, mi petas"
"Some hair gel, please.","Немного геля для волос, пожалуйста.","Iom da harĝelo, mi petas"
"Nothing, thanks.","Ничего, спасибо.","Nenion, dankon"
"Could you trim my moustache, please?","Не могли бы вы побрить мне усы, пожалуйста?","Ĉu vi povus tondeti miajn lipharojn, mi petas?"
"Could you trim my beard, please?","Не могли бы вы побрить мне бороду, пожалуйста?","Ĉu vi povus pritondi mian barbon, mi petas?"
"She has got a sensitive skin.","У неё чувствительная кожа.","Ŝi havas senteman haŭton"
"Please give me a facial massage.","Пожалуйста, сделайте мне массаж лица.","Bonvolu fari al mi vizaĝan masaĝon"
"I'd like to have a skin treatment.","Я хочу сделать процедуру для лица.","Mi ŝatus havi vizaĝtraktadon"
"I would like to have my scalp massaged.","Я бы хотела сделать массаж головы.","Mi ŝatus ricevi skalpomasaĝon"
"Would you please pluck my eyebrows?","Не могли бы вы, пожалуйста, выщипать мне брови?","Ĉu vi bonvolus elpluki miajn brovojn?"
"I'd like you to file and shape my nails.","Я бы хотела подпилить ногти и скорректировать их форму.","Mi ŝatus, ke vi fajlu kaj formigu miajn ungojn"
"I would like to have my nails polished.","Я бы хотела накрасить ногти.","Mi ŝatus laki miajn ungojn"
"Let's go to the tailor's.","Пойдём к портному.","Ni iru al la tajloro"
"Can you shorten this?","Вы можете их укоротить?","Ĉu vi povas mallongigi ilin?"
"Can you lengthen this?","Вы можете удлинить её?","Ĉu vi povas plilongigi ĉi tion?"
"The jacket is tight.","Пиджак узкий.","La jako estas streta"
"Can you fix the zip?","Вы можете починить молнию?","Ĉu vi povas ripari la zipon?"
"Can you sew it back on?","Вы можете пришить его обратно?","Ĉu vi povas alkudri ĝin reen?"
"Is it urgent?","Это срочно?","Ĉu ĝi urĝas?"
"What size would you like?","Какой размер вы бы хотели?","Kiun grandecon vi ŝatus?"
"It fits you well.","Она хорошо на вас сидит.","Ĝi bone sidas sur vi"
"What model would you like?","Какую модель вы бы хотели?","Kiun modelon vi ŝatus?"
"Can you check my size?","Вы можете снять с меня мерки?","Ĉu vi povas preni miajn mezurojn?"
"Can you sew these buttons on?","Вы можете пришить эти пуговицы?","Ĉu vi povas alkudri ĉi tiujn butonojn?"
"Can you alter this dress a bit?","Вы можете немного переделать это платье?","Ĉu vi povas iom ŝanĝi ĉi tiun robon?"
"Can you patch this hole?","Вы можете поставить заплатку на эту дырку?","Ĉu vi povas fliki ĉi tiun truon?"
